Question #	Question #	Sim Score
1		1		1.5
1		2		0.0
1		3		0.14
1		4		0.0
1		5		0.0
1		6		0.0
1		7		0.0
1		8		0.0
1		9		0.0
2		1		0.0
2		2		1.83
2		3		0.33
2		4		0.0
2		5		0.53
2		6		0.0
2		7		0.0
2		8		0.07
2		9		0.0
3		1		0.14
3		2		0.33
3		3		1.5
3		4		0.0
3		5		0.47
3		6		0.0
3		7		0.0
3		8		0.0
3		9		0.0
4		1		0.0
4		2		0.0
4		3		0.0
4		4		1.5
4		5		0.0
4		6		0.0
4		7		0.0
4		8		0.0
4		9		0.0
5		1		0.0
5		2		0.53
5		3		0.47
5		4		0.0
5		5		1.8
5		6		0.0
5		7		0.0
5		8		0.0
5		9		0.0
6		1		0.0
6		2		0.0
6		3		0.0
6		4		0.0
6		5		0.0
6		6		1.5
6		7		0.0
6		8		0.0
6		9		0.0
7		1		0.0
7		2		0.0
7		3		0.0
7		4		0.0
7		5		0.0
7		6		0.0
7		7		1.5
7		8		0.0
7		9		0.0
8		1		0.0
8		2		0.07
8		3		0.0
8		4		0.0
8		5		0.0
8		6		0.0
8		7		0.0
8		8		1.5
8		9		0.0
9		1		0.0
9		2		0.0
9		3		0.0
9		4		0.0
9		5		0.0
9		6		0.0
9		7		0.0
9		8		0.0
9		9		1.5
